"code","name","requirement_type","semester","start_year","end_year","semester_season"
"IMN551","Diplomamunka készítése II. MSc","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB901vm","Szakdolgozat készítése 2.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB3001G","Szakdolgozat készítése 2.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IMN501","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"ITL311MKG","Operációs rendszerek az iskolában gyak","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB975","Szakdolgozat készítése 2. BSc (gi)","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IBM3001","Diplomamunka készítése II.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMN552G","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMN602G2","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB985g-00001","Szakdolgozat készítése 2. BSc (mi)","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB985-00001","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB900vm","Szakdolgozat készítése 1.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB970","Szakdolgozat készítése 1. BSc (gi)","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB980-00001","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"ITN311MKE","Operációs rendszerek az iskolában","Kollokvium","2020/21/1","2020","2021","fall"
"IB980","Szakdolgozat készítése 1. BSc (mi)","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IBML3000","Diplomamunka készítése I.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB980-00001","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB980g","Szakdolgozat készítése 1. BSc (mi)","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"ITN311MKE","Operációs rendszerek az iskolában","Kollokvium","2018/19/2","2018","2019","spring"
"I611l","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2016/17/2","2016","2017","spring"
"IB611g","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2016/17/2","2016","2017","spring"
"IMN249L","Szoftverfejlesztés gyak.","Gyakorlati jegy","2013/14/2","2013","2014","spring"
"IMN311E","Operációs rendszerek az iskolában","Kollokvium","2021/22/2","2021","2022","spring"
"IML311L","L Operációs rendszerek az iskolában lab. gyak. ","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IML5022miG","Diplomamunka készítése II. gy.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IBML3001","Diplomamunka készítése II.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN5021miG","Diplomamunka készítése I. MI","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMEN551G","Thesis Work II.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB975","Szakdolgozat készítése 2. BSc (gi)","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"ITN9992G","Szakdolgozat","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB975","Szakdolgozat készítése 2. BSc (gi)","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"ITN9992G","Szakdolgozat","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB900vm","Szakdolgozat készítése 1.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IMN5021miG","Diplomamunka készítése I. MI","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"ITL311MKE","Operációs rendszerek az iskolában","Kollokvium","2020/21/2","2020","2021","spring"
"IMN551","Diplomamunka készítése II. MSc","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"ITN9992G","Szakdolgozat","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IML5021miG","Diplomamunka készítése I. gy.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMN602G1","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB950","Szakdolgozat készítés 1. (pti2)","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB3000G","Szakdolgozat készítése 1.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
